date,amount,currency,vendor,memo
2026-03-05,404.62,USD,Costco,
06-03-2026,35.14,USD,VERCEL INC 4XJ430,
2026-03-06,1504.28,USD,Amazon Web Services,INV-91862
2026-03-06,172.78,USD,VERCEL.COM  ,
2026-03-07,2640.34,USD,Upwork,INV-28266
2026-03-11,315.13,USD,Vercel,INV-52972
2026-03-12,283.48,USD,AIRBNB PAYMENTS,
2026-03-13,2153.23,USD,POS DEBIT AMAZON WEB SERVICES 025P04,INV-21032
2026-03-13,3356.86,USD,UPWORK ESCROW,INV-61336
03/14/2026,1641.10,USD,Amazon Web Services,INV-45807
2026-03-15,142.56,USD,POS DEBIT UBER   *TRIP,INV-19978
15-03-2026,516.19,USD,Amazon,
2026-03-16,501.86,USD,AIRBNB 587374,INV-87539
2026-03-16,511.06,USD,Amazon,
2026-03-16,1776.80,USD,AWS EMEA D0R5W5  ,INV-82923
2026-03-16,362.52,USD,VERCEL.COM,
2026-03-21,459.16,USD,UPWORK -822NLF,INV-61241
2026-03-22,140.82,USD,CLOUDFLARE *PRO,INV-72291
2026-03-24,240.36,USD,CLOUDFLARE INC SEATTLE WA  ,INV-72291
2026-03-24,975.69,USD,BESTBUY.COM 7Z5CNG,
2026-03-25,211.32,USD,AMTRAK .COM SAN JOSE CA,INV-21977
2026-03-27,380.12,USD,VERCEL.COM,INV-12790
2026-03-30,112.87,USD,GitHub,INV-87724
2026-03-31,8.76,USD,UBER   *TRIP,INV-72303
